Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Highest education level completed,Political affiliation (uk),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691520ed8e4167e3b8baa47b,6736247083a7524dfeccab93,AWAITING REVIEW,Not Applicable,2025-11-13T00:06:14.008000Z,2025-11-13T00:39:07.841000Z,,2025-11-13T00:39:08.285040Z,1974.0,CBN3YT5G,612,Man (including Trans Male/Trans Man),High school diploma/A-levels,Right,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6915228ac30ed8ef07edb23f,5c81582c4c1a61000155584f,AWAITING REVIEW,Not Applicable,2025-11-13T00:13:33.483000Z,2025-11-13T00:55:46.839000Z,,2025-11-13T00:55:47.298830Z,2534.0,CBN3YT5G,3622,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,49,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
691522d1a1e80bbda57b8677,60a6e4db0fb2c1d91fc00724,AWAITING REVIEW,Not Applicable,2025-11-13T00:14:13.443000Z,2025-11-13T00:44:39.870000Z,,2025-11-13T00:44:40.303239Z,1827.0,CBN3YT5G,1765,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Centre,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
691524fd7f390dbab4f9b02b,5eea256b9e506b0d09822cdc,AWAITING REVIEW,Not Applicable,2025-11-13T00:23:32.602000Z,2025-11-13T00:40:48.458000Z,,2025-11-13T00:40:48.908056Z,1036.0,CBN3YT5G,1875,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,27,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6915253fa407cdba2d02a872,5cc9df34a0289a001408c402,AWAITING REVIEW,Not Applicable,2025-11-13T00:24:34.605000Z,2025-11-13T00:44:14.354000Z,,2025-11-13T00:44:14.790213Z,1180.0,CBN3YT5G,2998,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
691525f6d4c4ede3535f0be4,66420f13760bbfe0ee3af466,AWAITING REVIEW,Not Applicable,2025-11-13T00:27:39.427000Z,2025-11-13T01:03:38.921000Z,,2025-11-13T01:03:39.408700Z,2160.0,CBN3YT5G,1732,Man (including Trans Male/Trans Man),Technical/community college,Right,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
691526e16a13e4ff7b3ea423,5bd2a0799afb5b00015be460,AWAITING REVIEW,Not Applicable,2025-11-13T00:31:38.324000Z,2025-11-13T01:36:42.604000Z,,2025-11-13T01:36:43.020626Z,3905.0,CBN3YT5G,6265,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
691526ef07c272a02dee02c9,67380a0419c95d7829fc2144,AWAITING REVIEW,Not Applicable,2025-11-13T00:32:03.516000Z,2025-11-13T00:56:46.027000Z,,2025-11-13T00:56:46.464844Z,1483.0,CBN3YT5G,180,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Right,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6915272e7386f31b7d4a8427,5bd2034025db7b000178ad8a,AWAITING REVIEW,Not Applicable,2025-11-13T00:32:53.985000Z,2025-11-13T01:10:43.098000Z,,2025-11-13T01:10:43.518520Z,2270.0,CBN3YT5G,4832,Man (including Trans Male/Trans Man),Technical/community college,Centre,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691528b875907c55d10e698c,5b14161e30d562000155e871,AWAITING REVIEW,Not Applicable,2025-11-13T00:39:23.643000Z,2025-11-13T00:49:37.070000Z,,2025-11-13T00:49:37.485185Z,614.0,CBN3YT5G,693,Man (including Trans Male/Trans Man),Technical/community college,Left,29,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6915291e33f5d05631e8c38a,60bbea726dc12dd57d5f1b94,AWAITING REVIEW,Not Applicable,2025-11-13T00:41:21.580000Z,2025-11-13T01:46:33.656000Z,,2025-11-13T01:46:34.061513Z,3913.0,CBN3YT5G,1300,Woman (including Trans Female/Trans Woman),Secondary education (e.g. GED/GCSE),N/A,64,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
69152a0901d9e7889b5cacf0,5eff5f05b92981000a2aed73,AWAITING REVIEW,Not Applicable,2025-11-13T00:45:06.861000Z,2025-11-13T01:07:35.353000Z,,2025-11-13T01:07:35.791379Z,1349.0,CBN3YT5G,4796,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Right,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
69152a0e54c82d07e42cf0eb,62b44f66a16d45783569fad6,AWAITING REVIEW,Not Applicable,2025-11-13T00:45:43.577000Z,2025-11-13T01:11:38.757000Z,,2025-11-13T01:11:39.221996Z,1556.0,CBN3YT5G,4622,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69152b3737b61df4326455f3,5996d2256b939900012d9f22,AWAITING REVIEW,Not Applicable,2025-11-13T00:50:12.739000Z,2025-11-13T01:03:40.907000Z,,2025-11-13T01:03:41.333058Z,809.0,CBN3YT5G,6402,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69152c9ccb62c0ddbc960602,5eaae0b28ba2df0570296c3a,AWAITING REVIEW,Not Applicable,2025-11-13T01:03:38.567000Z,2025-11-13T01:18:46.036000Z,,2025-11-13T01:18:46.438113Z,908.0,CBN3YT5G,4404,Man (including Trans Male/Trans Man),Technical/community college,Centre,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69152cd3927d3f2c413a67a9,5b985404a15058000124e508,AWAITING REVIEW,Not Applicable,2025-11-13T00:56:54.552000Z,2025-11-13T01:19:14.271000Z,,2025-11-13T01:19:14.699920Z,1340.0,CBN3YT5G,1263,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69152e77bd154e607c6def6b,674b1ce9ff35f65cdafa93ba,AWAITING REVIEW,Not Applicable,2025-11-13T01:04:22.997000Z,2025-11-13T01:30:34.036000Z,,2025-11-13T01:30:34.466712Z,1572.0,CBN3YT5G,403,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),N/A,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69152e85e1c1df609afb48e4,65031d5ca9f619d9e0412f0a,AWAITING REVIEW,Not Applicable,2025-11-13T01:04:22.731000Z,2025-11-13T01:27:08.790000Z,,2025-11-13T01:27:09.228905Z,1367.0,CBN3YT5G,2522,Man (including Trans Male/Trans Man),High school diploma/A-levels,Centre,21,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
